Global_id  Isotope_id   Species_id   Molecule_name    Q_file           nu_min           nu_max          
1          1            11           H216O            q1.txt           0.072            41999.696       
1          2            12           H218O            q2.txt           0.053            19991.404       
1          3            13           H217O            q3.txt           0.451            19945.257       
1          4            14           HD16O            q4.txt           7.260E-4         19935.167       
1          5            15           HD18O            q5.txt           1.340E-4         10728.706       
1          6            16           HD17O            q6.txt           3.790E-4         10702.921       
1          7            17           D216O            q129.txt         0.364            12796.42        
2          1            21           12C16O2          q7.txt           158.302          19908.186       
2          2            22           13C16O2          q8.txt           332.65           13734.963       
2          3            23           16O12C18O        q9.txt           1.473            12677.182       
2          4            24           16O12C17O        q10.txt          0.757            12726.562       
2          5            25           16O13C18O        q11.txt          2.945            9212.608        
2          6            26           16O13C17O        q12.txt          9.086            8061.739        
2          7            27           12C18O2          q13.txt          482.814          8162.742        
2          8            28           17O12C18O        q14.txt          498.617          8193.172        
2          9            29           12C17O2          q121.txt         535.384          6932.693        
2          0            20           13C18O2          q15.txt          539.62           6686.983        
2          11           2A           18O13C17O        q120.txt         549.473          4914.496        
2          12           2B           13C17O2          q122.txt         575.853          3614.084        
3          1            31           16O3             q16.txt          0.026            6996.681        
3          2            32           16O16O18O        q17.txt          0.921            3164.883        
3          3            33           16O18O16O        q18.txt          1.177            2739.289        
3          4            34           16O16O17O        q19.txt          0.289            2121.627        
3          5            35           16O17O16O        q20.txt          0.213            2101.318        
4          1            41           14N216O          q21.txt          0.838            7796.633        
4          2            42           14N15N16O        q22.txt          5.028            5085.714        
4          3            43           15N14N16O        q23.txt          4.858            4703.049        
4          4            44           14N218O          q24.txt          0.791            10363.675       
4          5            45           14N217O          q25.txt          550.956          4429.259        
5          1            51           12C16O           q26.txt          3.705            14477.377       
5          2            52           13C16O           q27.txt          3.545            12230.41        
5          3            53           12C18O           q28.txt          3.564            12204.382       
5          4            54           12C17O           q29.txt          3.647            10294.245       
5          5            55           13C18O           q30.txt          3.402            8077.874        
5          6            56           13C17O           q31.txt          3.485            8167.679        
6          1            61           12CH4            q32.txt          0.001            11501.872       
6          2            62           13CH4            q33.txt          0.032            11318.537       
6          3            63           12CH3D           q34.txt          7.76             6510.324        
6          4            64           13CH3D           q35.txt          959.394          1694.123        
7          1            71           16O2             q36.txt          1.000E-6         57027.59        
7          2            72           16O18O           q37.txt          1.692            56669.035       
7          3            73           16O17O           q38.txt          6.440E-7         14537.833       
8          1            81           14N16O           q39.txt          1.000E-6         23726.368       
8          2            82           15N16O           q40.txt          2.602E-5         15630.927       
8          3            83           14N18O           q41.txt          1.646E-5         15503.24        
9          1            91           32S16O2          q42.txt          0.017            4159.945        
9          2            92           34S16O2          q43.txt          0.103            3465.699        
9          3            93           33S16O2          q137.txt         0.142            2625.589        
9          4            94           16O32S18O        q138.txt         0.165            2973.703        
10         1            101          14N16O2          q44.txt          0.498            7978.029        
10         2            102          15N16O2          q130.txt         1500.729         1660.451        
11         1            111          14NH3            q45.txt          0.058            10348.719       
11         2            112          15NH3            q46.txt          0.196            5179.786        
12         1            121          H14N16O3         q47.txt          0.007            1769.982        
12         2            122          H15N16O3         q117.txt         0.138            922.931         
13         1            131          16OH             q48.txt          0.003            43408.753       
13         2            132          18OH             q49.txt          0.053            328.184         
13         3            133          16OD             q50.txt          0.01             331.087         
14         1            141          H19F             q51.txt          24.129           32351.592       
14         2            142          D19F             q110.txt         13.62            20829.169       
15         1            151          H35Cl            q52.txt          8.836            20231.245       
15         2            152          H37Cl            q53.txt          8.84             20218.768       
15         3            153          D35Cl            q107.txt         5.345            15265.941       
15         4            154          D37Cl            q108.txt         5.342            15246.285       
16         1            161          H79Br            q54.txt          13.422           16033.492       
16         2            162          H81Br            q55.txt          13.419           16031.403       
16         3            163          D79Br            q111.txt         7.661            8780.39         
16         4            164          D81Br            q112.txt         7.656            8777.907        
17         1            171          H127I            q56.txt          10.346           13907.689       
17         2            172          D127I            q113.txt         5.888            7624.961        
18         1            181          35Cl16O          q57.txt          0.028            1207.639        
18         2            182          37Cl16O          q58.txt          0.015            1199.84         
19         1            191          16O12C32S        q59.txt          0.406            7821.109        
19         2            192          16O12C34S        q60.txt          0.396            7795.713        
19         3            193          16O13C32S        q61.txt          0.404            6659.938        
19         4            194          16O12C33S        q62.txt          0.401            6631.929        
19         5            195          18O12C32S        q63.txt          0.761            4045.602        
19         6            196          16O13C34S        q135.txt         1951.797         2038.004        
20         1            201          H212C16O         q64.txt          1.000E-6         3099.958        
20         2            202          H213C16O         q65.txt          1.900E-5         116.702         
20         3            203          H212C18O         q66.txt          1.600E-5         100.054         
21         1            211          H16O35Cl         q67.txt          1.081            3799.249        
21         2            212          H16O37Cl         q68.txt          1.433            3799.682        
22         1            221          14N2             q69.txt          11.833           9354.2          
22         2            222          14N15N           q118.txt         11.541           2577.746        
23         1            231          H12C14N          q70.txt          0.015            17585.789       
23         2            232          H13C14N          q71.txt          0.014            7999.168        
23         3            233          H12C15N          q72.txt          2.87             3419.546        
24         1            241          12CH335Cl        q73.txt          0.886            3197.759        
24         2            242          12CH337Cl        q74.txt          0.873            3197.961        
25         1            251          H216O2           q75.txt          0.043            1730.371        
